,Recipe Name,Description,Prep Time,Cook Time,Serving Size,Group,Calories,Fat,Cholesterol,Sodium,Carbohydrate,Protein,Sugar,Fiber,Ingredients,Instructions
0,Golden Soup,"
                A nourishing golden soup with turmeric, ginger, and coconut milk for when you need to warm your soul.
            ",20,45,8, Dairy-Free Gluten Free Vegan Vegetarian,246,14 g,0 mg,666 mg,24 g,7 g,4 g,5 g,"2 (15-ounce) canschickpeas, drained and rinsed
1medium head of cauliflower, cut into small florets (about 1¾ pounds)
3large carrots, peeled, cut into ½-inch-thick rounds
3 tablespoonsyellow curry powder
1 teaspoonground turmeric
1½ teaspoonsea salt
¼ teaspooncayenne pepper (optional)
4 tablespoonsextra-virgin olive oil
1small yellow onion, chopped
1 tablespoongrated fresh ginger
4garlic cloves, minced
4 cupsvegetable or chicken stock
1 (13.5-ounce) canfull-fat coconut milk, shaken
1 teaspoonsugar
2 tablespoonsfresh lemon juice
Minced fresh cilantro, for serving
","Preheat the oven to 425°F with a rack in the center position. Pat the chickpeas dry with a paper towel. Combine the chickpeas, cauliflower and carrots to a rimmed sheet pan. In a small bowl, combine 1 tablespoon of the curry powder, ½ teaspoon of the turmeric, ½ teaspoon of the salt, and ⅛ teaspoon of the cayenne (if using). Drizzle the vegetables with 3 tablespoons of the olive oil and sprinkle with the spice mixture; toss until coated. Roast until the vegetables are tender, about 20 minutes. Meanwhile, heat the remaining 1 tablespoon of olive oil in a large stockpot. Once the oil is glistening, add the onions and cook stirring until beginning to soften, 4 minutes. Add the ginger and garlic and cook, stirring until fragrant, 1 more minute. Add the remaining 2 tablespoons curry powder, ½ teaspoon turmeric, ½ teaspoon sea salt, and ⅛ teaspoon cayenne (if using) and stir until evenly coated. Stir in the stock, coconut milk, sugar, and lemon juice. Add half of the roasted veggies and chickpeas to the soup. Using an immersion blender, blend the soup in the pot until very smooth. (Alternatively, transfer the soup to the base of a blender, let cool briefly, and blend until smooth.) Stir the remaining vegetables and chickpeas into the soup. Divide the soup between 6 bowls and serve topped with cilantro. "
1,Cream of Mushroom Soup,"
                Our cream of mushroom soup recipe will have you falling in love with this classic earthy and savory soup. You’ll find that it’s so good you’ll ditch the canned stuff!
            ",10,20,4, Gluten Free Vegetarian 30 Minutes One Pot,239,14 g,37 mg,198 mg,16 g,7 g,8 g,2 g,"4 tablespoonsunsalted butter
1medium yellow onion, diced (about 1½ cups)
2 poundsmushrooms, trimmed and thinly sliced
4garlic cloves, minced
⅓ cupdry white wine (we like Sauvignon Blanc)
1 tablespoonfresh thyme, minced
½ teaspoonground nutmeg
1 teaspoongarlic powder
1 teaspoononion powder
1 teaspoonDijon mustard
1 teaspoonkosher salt
½ teaspoonfreshly cracked black pepper
4 cupschicken or vegetable stock
2 tablespoonscornstarch
1 cupheavy cream
Flat leaf parsley, minced (optional)
","Melt the butter in a large pot over medium heat. Add the onion and cook, stirring occasionally, until tender, about 5 minutes. Add the mushrooms and garlic and cook, stirring occasionally, until the mushrooms are tender, about 5-7 minutes more.Add the wine, thyme, nutmeg, garlic powder, onion powder, mustard, salt, pepper, and stock. Bring to a boil over high heat, then reduce the heat to low and simmer for 5 minutes.Using an immersion blender, blend the soup in the pot until smooth. (Alternatively, transfer the soup to the base of a blender, let cool briefly, and blend.) In a small bowl, whisk together the cornstarch and 2 tablespoons of water to form a slurry. Stir in the slurry and heavy cream and cook over medium heat until thickened, about 4-5 minutes. Divide the soup between 4 bowls. Serve topped with the parsley if using.Note: If you prefer a more toothsome soup, transfer half the soup to the base of a blender, let cool briefly, and blend. Add it back to the pot and stir to combine. "
2,Beef and Lentil Soup,"
                Soup season wouldn’t be the same without this hearty beef and lentil soup. There’s a healthy serving of green beans and zucchini in a tomato broth, making this one of our favorite cozy soups.
            ",10,50,6, Dairy-Free Gluten Free One Pot,403,20 g,0 mg,1232 mg,38 g,28 g,10 g,15 g,"2 tablespoonsextra-virgin olive oil
1 pound80/20 ground beef
1small yellow onion, chopped
4celery ribs, chopped
3medium carrots, peeled and diced
3garlic cloves, minced
6 cupschicken or vegetable stock
1 (28-ounce) cancrushed tomatoes
2 teaspoonsItalian seasoning
1 teaspoonsmoked paprika
2 teaspoonskosher salt
½ teaspoonfreshly cracked black pepper, plus more for serving
1½ cupsdried green lentils
2medium zucchini, chopped
¼ poundgreen beans, trimmed and roughly chopped (about 2 cups)
¼ cupchopped fresh parsley, plus more for serving
¼ cupfinely chopped basil leaves, plus more for serving
","Heat the olive oil in a large pot over medium-high heat. Once the oil is glistening, add the beef and onion. Cook, breaking up the beef with a wooden spoon, until browned and the onion is softened, about 8 minutes. Add celery, carrots, and garlic and cook, stirring occasionally, until garlic is fragrant, about 2 minutes. Add the stock, crushed tomatoes, Italian seasoning, smoked paprika, salt, and pepper. Stir in the lentils and increase the heat to high. Bring to a boil, then reduce the heat to low and cook for 20 minutes. Add the zucchini and green beans and continue cooking, stirring occasionally, until lentils and vegetables are tender, about 20 minutes more.Stir in the parsley and basil. Divide the soup between 6 bowls and top with pepper and more parsley and basil. "
3,Instant Pot Mac and Cheese,"
                It’s easier—and way better—than box mac and cheese. It’s our rich, creamy, homemade Instant Pot mac and cheese!
            ",10,4,6, Vegetarian 30 Minutes Kid Friendly One Pot Pressure Cooker,385,26 g,82 mg,529 mg,26 g,15 g,0 g,1 g,"1 poundelbow macaroni
1 teaspoonsea salt
¾ cupheavy cream
1 cupfreshly grated Parmesan cheese
2 cupsshredded cheddar
Freshly cracked black pepper
Peas or other cooked veggies
Sriracha
","In an Instant Pot, combine the macaroni, 4 cups water, and salt. Secure the lid, close the vent valve, and cook on high pressure for 4 minutes. Manually release the steam to prevent the noodles from overcooking. A very small amount of water should remain in the pot; drain if needed.Add the cream, Parmesan, and cheddar. Stir to combine until the cheese is melted. Add pepper, peas and sriracha if using. To serve, scoop into individual bowls. "
4,Beer Battered Fish,"
                Our light and crispy beer battered fish recipe is twenty thousand leagues above any of the frozen varieties, and will take your fish fry to the next level.
            ",10,25,6, Dairy-Free Kid Friendly,589,39 g,52 mg,1698 mg,36 g,22 g,0 g,2 g,"12 ouncespale ale or other light beer
2¼ cupsflour
1 teaspoonbaking powder
4 teaspoonssea salt, plus more for serving
1 teaspooncayenne
1 teaspoongarlic powder
1¼ poundsfresh cod, cut into 1 inch-thick strips
3-4 cupsCanola oil or vegetable oil, for frying
Malt vinegar, for serving (optional)
","In a medium bowl, whisk together the beer, 1¼ cups of the flour, baking powder, and 1½ teaspoons of the salt until no lumps remain. The batter consistency should be a little bit runnier than pancake batter and completely smooth, set aside. In a pie plate or a shallow bowl, combine the remaining 1 cup of flour, cayenne, garlic powder, and 2 teaspoons of the salt until very well incorporated. Season the cod with the remaining ½ teaspoon of salt. Attach a deep-fry thermometer to the side of a large pot. Add the oil to the pot over medium-high heat, making sure it is about 3 inches deep. Once the oil reaches 350°F, working with one piece at a time, dip the cod into the flour mixture and turn to coat. Then dip it into the batter, letting the excess drip off. Carefully add the cod to the hot oil, 2 to 3 pieces at a time, and cook, turning halfway through, until golden brown, 6-8 minutes. Transfer the cod to a paper towel-lined plate. Repeat with the remaining cod, allowing the oil to return to 350°F between batches.Sprinkled with salt. Serve hot with tartar sauce and malt vinegar on the side if using. "
5,Homemade Tartar Sauce,"
                Creamy mayonnaise, a hint of brininess from a jar of pickles, a touch of citrus, and a blend of seasoning is all you need to make a fresh batch of homemade tartar sauce.
            ",10,0,8, Dairy-Free Gluten Free Low-Carb Vegetarian 30 Minutes,185,20 g,10 mg,339 mg,1 g,0 g,0 g,0 g,"1 cupmayonnaise
½ cupfinely chopped dill pickles
1 teaspoondill pickle juice
2 teaspoonsfresh lemon juice (from 1 lemon)
1 teaspoonOld Bay seasoning
1 teaspoongarlic powder
½ teaspoononion powder
½ teaspoonsugar
½ teaspoondried dill
¼ teaspooncayenne pepper
","In a small bowl, combine the mayonnaise, pickles, pickle juice, lemon juice, Old Bay, garlic powder, onion powder, sugar, dill, and cayenne."
6,,,,,,,,,,,,,,,,
7,Peanut Chicken Noodle Bowl,"
                It’s quick and saucy. It’s our peanut chicken noodle bowl with crunchy cucumbers, green beans, and juicy tomatoes on top. Make it for dinner or lunch, and eat leftovers the next day for breakfast!
            ",15,30,6, Dairy-Free Gluten Free,781,30 g,176 mg,1014 mg,76 g,51 g,5 g,4 g,"1 poundrice noodles
2½ poundsboneless, skinless chicken thighs
1 teaspoonkosher salt
1 tablespoonvegetable oil
½ cupcreamy peanut butter
3 tablespoonslow-sodium soy sauce or tamari
1½ teaspoonsgrated garlic
1 tablespoonsrice vinegar
1 tablespoonred curry paste (plus more if you like things spicy)
2 teaspoonsgrated ginger
2 tablespoonslight brown sugar (optional)
1 (13-ounce) cancoconut milk, shaken
4 ouncesgreen beans, trimmed and cut into ½-inch pieces
½ cuphalved cherry tomatoes
2Persian cucumbers, cut into ¼-inch-thick rounds (about ½ cup)
¼ cuproasted peanuts, roughly chopped, plus more for serving
⅓ cupfresh cilantro, roughly chopped, plus more for serving
¼ cupfresh lime juice (from 2 limes)
1 tablespoonfish sauce (optional)
","Bring a large pot of water to a boil over high heat. Cook the noodles according to the package directions. Drain and set aside. Season the chicken all over with the salt. Heat the oil in a large ovenproof skillet over medium-high heat. Once the oil is glistening, add the chicken and cook, undisturbed, until browned, about 5 minutes per side. Transfer the chicken to a plate. Combine the peanut butter, 2 tablespoons of the soy sauce, 1 teaspoon grated garlic, vinegar, curry paste, ginger and brown sugar in a skillet; whisk to combine. Slowly whisk in the coconut milk. Return the chicken to the skillet and spoon the sauce over the chicken. Bring to a simmer, then reduce the heat to low. Cook until the sauce has thickened and the chicken is cooked through, about 8 minutes. Remove from heat. Meanwhile, in a medium bowl, combine the green beans, tomatoes, cucumbers, peanuts, cilantro, lime juice, fish sauce (if using), the remaining 1 tablespoon of soy sauce and remaining ½ teaspoon garlic. Divide the noodles between 6 shallow bowls. Top with the chicken and green bean tomato salad. Serve the peanut sauce over the chicken and garnish with the crushed peanuts and cilantro."
8,Chicken Chow Mein,"
                Our chicken chow mein recipe features easy stir-fried noodles studded with bites of chicken and veggies, in a savory sweet sauce.
            ",25,35,6, Kid Friendly,649,26 g,66 mg,1803 mg,65 g,46 g,8 g,2 g,"1½ poundsboneless, skinless chicken, thinly sliced
1 teaspoonkosher salt
2 tablespoonscornstarch
5 tablespoonslow sodium soy sauce
1 (12-ounces)package dried chow mein noodle
3 tablespoonssesame oil, divided
6 tablespoonsvegetable or canola oil, divided
1 cupjulienned carrots or bell peppers
2 cupsthinly sliced cabbage
3celery ribs, cut into ½-inch pieces (about 1 cup)
2 teaspoonsminced garlic
2 teaspoonsminced fresh ginger
¼ cupoyster sauce
1 tablespoonrice vinegar
1 tablespoonbrown sugar
1 to 2 teaspoonschili paste (we like Sambal Oelek or Sriracha)
Green onions, thinly sliced (optional)
","In a medium bowl, toss the chicken with the salt and cornstarch until evenly coated. Add 2 tablespoons of the soy sauce and mix until evenly coated.Bring a medium pot of water to a boil. Once the water is boiling, add the coated chicken and cook until no longer pink, about 4 minutes. Drain and set aside. Meanwhile, bring a large pot of water to a boil. Once the water is boiling, cook the noodles according to the package directions. Drain and set aside.Heat 1 tablespoon of the sesame oil and 2 tablespoons of the vegetable oil in a large wok or skillet over medium-high heat. Once the oil is glistening, add the chicken and cook, stirring, until cooked through, about 2 minutes. Transfer to a plate. Add another tablespoon of the sesame oil and 2 tablespoons of the vegetable oil to the wok. Add the carrots, cabbage, celery, garlic, and ginger and cook, stirring, until softened and fragrant, 4 minutes more. In a small bowl, combine the oyster sauce, rice vinegar, brown sugar, chili sauce, and the remaining 3 tablespoons of soy sauce until fully combined. Increase the heat to high and add the remaining 1 tablespoon of sesame oil and the remaining 2 tablespoons of vegetable oil to the wok. Add the noodles and sauce and cook, stirring, until combined and caramelized, 5 minutes. Return the veggies and chicken to the wok and toss to combine.Sprinkle with green onions and serve warm."
9,Sausage and Rice Skillet,"
                A sausage and rice dinner that gets cooked all in one skillet. We brighten it up with a little pesto and fresh basil leaves for a dinner that’s done before someone asks, “What’s for dinner?”
            ",10,30,6, Gluten Free One Pot,431,20 g,68 mg,1118 mg,46 g,18 g,4 g,2 g,"1 tablespoonextra-virgin olive oil
1½ poundscooked Italian chicken sausage, ¼ inch sliced
1red onion, thinly sliced
2red bell peppers, thinly sliced
3garlic cloves, thinly sliced
1½ cupslong grain white rice, rinsed and drained
3 cupschicken stock
¼ cupthinly sliced fresh basil leaves, plus more for serving
1 teaspoonkosher salt
1 teaspoongarlic powder
1 teaspoononion powder
1 teaspoondried oregano
½ teaspoonfreshly cracked black pepper
½ cup","Heat the olive oil in a large skillet or braiser over medium-high heat. Once the oil is glistening, add the sausage. Cook, undisturbed, until the sausage is browned, 2-3 minutes per side. Transfer the sausage to a plate. To the same saucepan, add the onions and peppers. Cook, stirring, until softened, 4-5 minutes. Add the garlic and rice and cook, stirring often, until garlic is fragrant and rice is toasted, about 2 minutes. Stir in the chicken stock, basil, salt, garlic powder, onion powder, oregano and pepper. Return the sausage and any collected juices to the saucepan. Bring to a simmer, cover, reduce the heat to low and cook until the liquid has absorbed and the rice is tender, about 20 minutes.Divide the sausage and rice among 6 plates. Drizzle with the pesto and top with more basil to serve. "
